"sampleID","scientificName","collectDate.x","siteID.x","inv.density"
"ARIK.20160331.KICKNET.5","Trichoptera sp.",2016-03-31 15:41:00,"ARIK",4
"ARIK.20160713.KICKNET.1","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",40
"ARIK.20160713.KICKNET.2","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",10
"ARIK.20160713.KICKNET.5","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",60
"ARIK.20160919.CORE.2","Plecoptera sp.",2016-09-19 22:06:00,"ARIK",166.666666666667
"ARIK.20170322.KICKNET.1","Ephemeroptera sp.",2017-03-22 15:30:00,"ARIK",12
"ARIK.20171010.KICKNET.1","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",96
"ARIK.20171010.KICKNET.2","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",4
"ARIK.20171010.KICKNET.4","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",16
"ARIK.20171010.KICKNET.5","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",8
"ARIK.20180712.KICKNET.4","Ephemeroptera sp.",2018-07-12 13:00:00,"ARIK",12
"ARIK.20181002.CORE.1","Ephemeroptera sp.",2018-10-02 13:26:00,"ARIK",166.666666666667
"ARIK.20210713.KICKNET.1","Ephemeroptera sp.",2021-07-13 15:09:00,"ARIK",20
"ARIK.20210713.KICKNET.2","Ephemeroptera sp.",2021-07-13 15:09:00,"ARIK",20
"COMO.20160906.SURBER.1","Trichoptera sp.",2016-09-06 16:05:00,"COMO",86.0215053763441
"COMO.20160906.SURBER.2","Trichoptera sp.",2016-09-06 16:05:00,"COMO",10.752688172043
"COMO.20160906.SURBER.3","Ephemeroptera sp.",2016-09-06 16:05:00,"COMO",107.52688172043
"COMO.20160906.SURBER.3","Plecoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20160906.SURBER.3","Trichoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20160906.SURBER.4","Plecoptera sp.",2016-09-06 16:05:00,"COMO",376.344086021505
"COMO.20160906.SURBER.5","Plecoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20170803.SURBER.4","Plecoptera sp.",2017-08-03 15:29:00,"COMO",107.52688172043
"COMO.20170830.SURBER.2","Trichoptera sp.",2017-08-30 15:26:00,"COMO",53.7634408602151
"COMO.20170830.SURBER.3","Plecoptera sp.",2017-08-30 15:26:00,"COMO",258.064516129032
"COMO.20180605.SURBER.3","Plecoptera sp.",2018-06-05 16:06:00,"COMO",21.505376344086
"COMO.20180605.SURBER.5","Plecoptera sp.",2018-06-05 16:06:00,"COMO",10.752688172043
"COMO.20180807.SURBER.1","Plecoptera sp.",2018-08-07 15:52:00,"COMO",53.7634408602151
"COMO.20180807.SURBER.1","Trichoptera sp.",2018-08-07 15:52:00,"COMO",53.7634408602151
"COMO.20180807.SURBER.2","Plecoptera sp.",2018-08-07 15:52:00,"COMO",172.043010752688
"COMO.20180807.SURBER.3","Plecoptera sp.",2018-08-07 15:52:00,"COMO",86.0215053763441
"COMO.20180807.SURBER.4","Plecoptera sp.",2018-08-07 15:52:00,"COMO",139.784946236559
"COMO.20180807.SURBER.5","Plecoptera sp.",2018-08-07 15:52:00,"COMO",215.05376344086
"COMO.20180829.SURBER.1","Plecoptera sp.",2018-08-29 14:39:00,"COMO",172.043010752688
"COMO.20180829.SURBER.2","Ephemeroptera sp.",2018-08-29 14:39:00,"COMO",21.505376344086
"COMO.20180829.SURBER.2","Plecoptera sp.",2018-08-29 14:39:00,"COMO",21.505376344086
"COMO.20180829.SURBER.3","Plecoptera sp.",2018-08-29 14:39:00,"COMO",86.0215053763441
"COMO.20180829.SURBER.4","Plecoptera sp.",2018-08-29 14:39:00,"COMO",172.043010752688
"COMO.20180829.SURBER.4","Trichoptera sp.",2018-08-29 14:39:00,"COMO",43.010752688172
"COMO.20190807.SURBER.1","Trichoptera sp.",2019-08-07 20:09:00,"COMO",10.752688172043
"COMO.20190807.SURBER.4","Plecoptera sp.",2019-08-07 20:09:00,"COMO",107.52688172043
"COMO.20190807.SURBER.5","Plecoptera sp.",2019-08-07 20:09:00,"COMO",21.505376344086
"COMO.20190807.SURBER.5","Trichoptera sp.",2019-08-07 20:09:00,"COMO",10.752688172043
"COMO.20190826.KICKNET.1","Plecoptera sp.",2019-08-26 15:08:00,"COMO",8
"COMO.20190826.KICKNET.3","Plecoptera sp.",2019-08-26 15:08:00,"COMO",4
"COMO.20200803.KICKNET.2","Trichoptera sp.",2020-08-03 15:15:00,"COMO",12
"COMO.20200803.SURBER.2","Plecoptera sp.",2020-08-03 15:15:00,"COMO",96.7741935483871
"COMO.20200803.SURBER.5","Plecoptera sp.",2020-08-03 15:15:00,"COMO",1000
"COMO.20200831.SURBER.3","Plecoptera sp.",2020-08-31 16:23:00,"COMO",21.505376344086
"COMO.20200831.SURBER.3","Trichoptera sp.",2020-08-31 16:23:00,"COMO",64.5161290322581
"COMO.20210804.SURBER.3","Plecoptera sp.",2021-08-04 14:56:00,"COMO",215.05376344086
"COMO.20210804.SURBER.4","Plecoptera sp.",2021-08-04 14:56:00,"COMO",204.301075268817
"COMO.20210804.SURBER.5","Plecoptera sp.",2021-08-04 14:56:00,"COMO",21.505376344086
"COMO.20210830.KICKNET.3","Plecoptera sp.",2021-08-30 16:34:00,"COMO",8
"COMO.20210830.SURBER.3","Plecoptera sp.",2021-08-30 16:34:00,"COMO",53.7634408602151
"WLOU.20170530.CORE.2","Ephemeroptera sp.",2017-05-30 16:33:00,"WLOU",333.333333333333
"WLOU.20170530.CORE.3","Trichoptera sp.",2017-05-30 16:33:00,"WLOU",166.666666666667
"WLOU.20170530.SURBER.4","Plecoptera sp.",2017-05-30 16:33:00,"WLOU",129.032258064516
"WLOU.20170710.SURBER.3","Plecoptera sp.",2017-07-10 14:48:00,"WLOU",21.505376344086
"WLOU.20170914.CORE.2","Ephemeroptera sp.",2017-09-14 17:38:00,"WLOU",666.666666666667
"WLOU.20170914.CORE.3","Ephemeroptera sp.",2017-09-14 17:38:00,"WLOU",166.666666666667
"WLOU.20170914.SURBER.3","Plecoptera sp.",2017-09-14 17:38:00,"WLOU",118.279569892473
"WLOU.20180517.CORE.3","Plecoptera sp.",2018-05-17 14:38:00,"WLOU",166.666666666667
"WLOU.20180517.SURBER.4","Plecoptera sp.",2018-05-17 14:38:00,"WLOU",10.752688172043
"WLOU.20180725.SURBER.1","Plecoptera sp.",2018-07-25 17:02:00,"WLOU",172.043010752688
"WLOU.20180725.SURBER.3","Ephemeroptera sp.",2018-07-25 17:02:00,"WLOU",172.043010752688
"WLOU.20180725.SURBER.3","Plecoptera sp.",2018-07-25 17:02:00,"WLOU",430.10752688172
"WLOU.20180725.SURBER.5","Ephemeroptera sp.",2018-07-25 17:02:00,"WLOU",139.784946236559
"WLOU.20180725.SURBER.5","Plecoptera sp.",2018-07-25 17:02:00,"WLOU",139.784946236559
"WLOU.20180911.CORE.1","Ephemeroptera sp.",2018-09-11 17:18:00,"WLOU",750
"WLOU.20180911.CORE.1","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",750
"WLOU.20180911.CORE.2","Ephemeroptera sp.",2018-09-11 17:18:00,"WLOU",1166.66666666667
"WLOU.20180911.CORE.2","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",333.333333333333
"WLOU.20180911.CORE.3","Ephemeroptera sp.",2018-09-11 17:18:00,"WLOU",1833.33333333333
"WLOU.20180911.CORE.3","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",1333.33333333333
"WLOU.20180911.SURBER.1","Ephemeroptera sp.",2018-09-11 17:18:00,"WLOU",21.505376344086
"WLOU.20180911.SURBER.1","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",64.5161290322581
"WLOU.20180911.SURBER.2","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",64.5161290322581
"WLOU.20180911.SURBER.2","Trichoptera sp.",2018-09-11 17:18:00,"WLOU",64.5161290322581
"WLOU.20180911.SURBER.3","Ephemeroptera sp.",2018-09-11 17:18:00,"WLOU",86.0215053763441
"WLOU.20180911.SURBER.3","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",602.150537634409
"WLOU.20180911.SURBER.5","Plecoptera sp.",2018-09-11 17:18:00,"WLOU",32.258064516129
"WLOU.20190723.SURBER.1","Plecoptera sp.",2019-07-23 18:59:00,"WLOU",43.010752688172
"WLOU.20190723.SURBER.1","Trichoptera sp.",2019-07-23 18:59:00,"WLOU",86.0215053763441
"WLOU.20190723.SURBER.2","Plecoptera sp.",2019-07-23 18:59:00,"WLOU",64.5161290322581
"WLOU.20190723.SURBER.3","Plecoptera sp.",2019-07-23 18:59:00,"WLOU",43.010752688172
"WLOU.20190723.SURBER.3","Trichoptera sp.",2019-07-23 18:59:00,"WLOU",53.7634408602151
"WLOU.20190723.SURBER.4","Trichoptera sp.",2019-07-23 18:59:00,"WLOU",21.505376344086
"WLOU.20190723.SURBER.5","Plecoptera sp.",2019-07-23 18:59:00,"WLOU",86.0215053763441
"WLOU.20190912.CORE.2","Ephemeroptera sp.",2019-09-12 19:39:00,"WLOU",333.333333333333
"WLOU.20190912.CORE.2","Plecoptera sp.",2019-09-12 19:39:00,"WLOU",166.666666666667
"WLOU.20190912.SURBER.2","Ephemeroptera sp.",2019-09-12 19:39:00,"WLOU",10.752688172043
"WLOU.20190912.SURBER.2","Plecoptera sp.",2019-09-12 19:39:00,"WLOU",32.258064516129
"WLOU.20190912.SURBER.3","Plecoptera sp.",2019-09-12 19:39:00,"WLOU",118.279569892473
"WLOU.20190912.SURBER.5","Plecoptera sp.",2019-09-12 19:39:00,"WLOU",86.0215053763441
"WLOU.20200720.CORE.1","Plecoptera sp.",2020-07-20 17:23:00,"WLOU",166.666666666667
"WLOU.20200720.CORE.3","Plecoptera sp.",2020-07-20 17:23:00,"WLOU",166.666666666667
"WLOU.20200720.SURBER.1","Plecoptera sp.",2020-07-20 17:23:00,"WLOU",43.010752688172
"WLOU.20200720.SURBER.4","Plecoptera sp.",2020-07-20 17:23:00,"WLOU",21.505376344086
"WLOU.20200921.SURBER.4","Plecoptera sp.",2020-09-21 20:26:00,"WLOU",86.0215053763441
"WLOU.20210720.CORE.2","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",166.666666666667
"WLOU.20210720.CORE.3","Ephemeroptera sp.",2021-07-20 15:22:00,"WLOU",1166.66666666667
"WLOU.20210720.SURBER.1","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",75.2688172043011
"WLOU.20210720.SURBER.2","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",107.52688172043
"WLOU.20210720.SURBER.3","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",290.322580645161
"WLOU.20210720.SURBER.4","Ephemeroptera sp.",2021-07-20 15:22:00,"WLOU",924.731182795699
"WLOU.20210720.SURBER.4","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",462.365591397849
"WLOU.20210720.SURBER.4","Trichoptera sp.",2021-07-20 15:22:00,"WLOU",150.537634408602
"WLOU.20210720.SURBER.5","Plecoptera sp.",2021-07-20 15:22:00,"WLOU",139.784946236559
"WLOU.20210920.CORE.3","Plecoptera sp.",2021-09-20 17:15:00,"WLOU",166.666666666667
"WLOU.20210920.SURBER.4","Plecoptera sp.",2021-09-20 17:15:00,"WLOU",537.634408602151
